"Sequential","0.018000","0.038000","0.057000","0.076000","0.091000","0.108000","0.126000","0.144000","0.162000","0.180000"
"White Noise","0.020000","0.030000","0.049000","0.075000","0.104000","0.103000","0.148000","0.133000","0.171000","0.167000"
"Golden Ratio","0.017000","0.037000","0.055000","0.073000","0.091000","0.109000","0.127000","0.146000","0.163000","0.182000"
"Pi","0.016000","0.036000","0.054000","0.070000","0.090000","0.115000","0.124000","0.142000","0.168000","0.185000"
"Sqrt2","0.100000","0.099000","0.101000","0.100000","0.101000","0.099000","0.100000","0.100000","0.101000","0.099000"
