"Sequential","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"White Noise","0.099814","0.099284","0.100404","0.100779","0.099830","0.100257","0.099996","0.099871","0.099835","0.099930"
"Golden Ratio","0.099999","0.100001","0.100000","0.100001","0.100000","0.100000","0.100000","0.100000","0.099999","0.100000"
"Pi","0.099965","0.100013","0.100018","0.099965","0.100013","0.100017","0.099987","0.099992","0.100015","0.100015"
"Sqrt2","0.100001","0.100000","0.099999","0.099999","0.100003","0.100000","0.099997","0.100002","0.100003","0.099996"
