"Weights","0.018182","0.036364","0.054545","0.072727","0.090909","0.109091","0.127273","0.145455","0.163636","0.181818"
"Sequential","0.018100","0.036400","0.054600","0.072800","0.091000","0.109200","0.127400","0.145600","0.163800","0.181100"
"White Noise","0.017700","0.035300","0.056900","0.073600","0.088400","0.103700","0.128100","0.149100","0.162300","0.184900"
"Golden Ratio","0.018200","0.036300","0.054600","0.072700","0.091000","0.109000","0.127400","0.145500","0.163500","0.181800"
"Pi","0.017600","0.035200","0.053200","0.070800","0.092400","0.111100","0.123800","0.149500","0.160400","0.186000"
"Sqrt2","0.018000","0.036500","0.054500","0.072600","0.091000","0.109200","0.127300","0.145300","0.163700","0.181900"
"Alias White Noise","0.018200","0.040100","0.050700","0.070800","0.086500","0.113300","0.130200","0.147600","0.162900","0.179700"
"Alias R2","0.018100","0.036200","0.054900","0.072700","0.090500","0.109100","0.127200","0.146000","0.163000","0.182300"
"Alias R2 (Additive)","0.018000","0.036300","0.054900","0.072700","0.090700","0.109100","0.127200","0.145900","0.163000","0.182200"
"Alias GR / Sqrt2","0.018200","0.036700","0.054600","0.072100","0.090900","0.108800","0.127900","0.145100","0.164100","0.181600"
"Alias Sobol","0.018200","0.036300","0.054400","0.072600","0.090900","0.109300","0.127000","0.145700","0.163400","0.182200"
