"Sequential","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"White Noise","0.101220","0.099500","0.100510","0.101020","0.097890","0.100450","0.101460","0.098860","0.099600","0.099490"
"Golden Ratio","0.100010","0.099990","0.100010","0.100000","0.100020","0.099990","0.100000","0.100000","0.099990","0.099990"
"Pi","0.099840","0.099870","0.100080","0.100110","0.099860","0.099850","0.100340","0.099850","0.099860","0.100340"
"Sqrt2","0.099990","0.099980","0.100020","0.100000","0.100020","0.099980","0.100010","0.099990","0.100020","0.099990"
