"Weights","0.018182","0.036364","0.054545","0.072727","0.090909","0.109091","0.127273","0.145455","0.163636","0.181818"
"Sequential","0.018181","0.036364","0.054546","0.072728","0.090910","0.109092","0.127274","0.145456","0.163638","0.181811"
"White Noise","0.018406","0.036090","0.054383","0.072321","0.091117","0.109727","0.127250","0.145770","0.163231","0.181705"
"Golden Ratio","0.018182","0.036363","0.054546","0.072728","0.090909","0.109090","0.127274","0.145455","0.163635","0.181818"
"Pi","0.018168","0.036337","0.054553","0.072737","0.090923","0.109065","0.127283","0.145477","0.163612","0.181845"
"Sqrt2","0.018179","0.036366","0.054544","0.072731","0.090910","0.109088","0.127274","0.145455","0.163635","0.181818"
"Alias White Noise","0.018309","0.036434","0.054354","0.072677","0.091058","0.109055","0.127335","0.145412","0.163608","0.181758"
"Alias R2","0.022107","0.039008","0.048779","0.077684","0.078437","0.125657","0.127981","0.153246","0.157640","0.169461"
"Alias R2 (Additive)","0.021981","0.038271","0.047300","0.079542","0.077495","0.127547","0.124395","0.151612","0.161251","0.170606"
"Alias GR / Sqrt2","0.018181","0.036368","0.054544","0.072730","0.090916","0.109096","0.127270","0.145452","0.163630","0.181813"
"Alias Sobol","0.018182","0.036363","0.054544","0.072728","0.090911","0.109095","0.127265","0.145461","0.163636","0.181815"
