"Sequential","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"White Noise","0.090000","0.130000","0.060000","0.080000","0.110000","0.030000","0.090000","0.150000","0.090000","0.170000"
"Golden Ratio","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.090000","0.110000","0.100000","0.100000"
"One Minus Golden Ratio","0.100000","0.100000","0.110000","0.090000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"Pi","0.100000","0.100000","0.100000","0.110000","0.090000","0.090000","0.120000","0.090000","0.090000","0.110000"
"One Minus Pi","0.110000","0.090000","0.090000","0.120000","0.090000","0.090000","0.110000","0.100000","0.100000","0.100000"
"Sqrt2","0.100000","0.100000","0.100000","0.100000","0.110000","0.100000","0.100000","0.100000","0.100000","0.090000"
