"Sequential","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"White Noise","0.000000","0.200000","0.100000","0.100000","0.000000","0.000000","0.100000","0.000000","0.200000","0.300000"
"Golden Ratio","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"One Minus Golden Ratio","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"Pi","0.000000","0.200000","0.200000","0.000000","0.200000","0.100000","0.000000","0.100000","0.100000","0.100000"
"One Minus Pi","0.100000","0.100000","0.100000","0.000000","0.100000","0.200000","0.000000","0.200000","0.200000","0.000000"
"Sqrt2","0.100000","0.100000","0.100000","0.100000","0.200000","0.000000","0.100000","0.100000","0.200000","0.000000"
