"Sequential","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000","0.100000"
"White Noise","0.092000","0.106000","0.105000","0.099000","0.115000","0.092000","0.103000","0.097000","0.083000","0.108000"
"Golden Ratio","0.100000","0.100000","0.100000","0.099000","0.101000","0.100000","0.099000","0.101000","0.100000","0.100000"
"One Minus Golden Ratio","0.100000","0.100000","0.101000","0.099000","0.100000","0.101000","0.099000","0.100000","0.100000","0.100000"
"Pi","0.097000","0.097000","0.098000","0.107000","0.097000","0.097000","0.108000","0.096000","0.096000","0.107000"
"One Minus Pi","0.107000","0.096000","0.096000","0.108000","0.097000","0.097000","0.107000","0.098000","0.097000","0.097000"
"Sqrt2","0.100000","0.099000","0.101000","0.100000","0.101000","0.099000","0.100000","0.100000","0.101000","0.099000"
